10.02.2016 11:08:29; WARNING; 0; LogsCleaner запущен
10.02.2016 11:13:01; WARNING; 0; LogsCleaner запущен
10.02.2016 11:16:09; WARNING; 0; LogsCleaner запущен
10.02.2016 11:19:29; INFO; 0; Начата очистка лога
10.02.2016 11:39:28; INFO; 0; Успешно проведена очистка лога
10.02.2016 17:55:49; WARNING; 0; LogsCleaner запущен
10.02.2016 17:57:27; WARNING; 0; LogsCleaner запущен
10.02.2016 18:00:47; INFO; 0; Начата очистка лога
10.02.2016 18:18:58; WARNING; 0; LogsCleaner запущен
10.02.2016 18:22:18; INFO; 0; Начата очистка лога
10.02.2016 18:29:23; WARNING; 0; LogsCleaner запущен
10.02.2016 18:32:43; INFO; 0; Начата очистка лога
10.02.2016 18:52:12; INFO; 0; Успешно проведена очистка лога
10.02.2016 22:38:59; WARNING; 0; LogsCleaner запущен
11.02.2016 12:37:40; WARNING; 0; LogsCleaner запущен
11.02.2016 12:41:00; INFO; 0; Начата очистка лога
11.02.2016 14:23:36; WARNING; 0; LogsCleaner запущен
11.02.2016 14:26:56; INFO; 0; Начата очистка лога
11.02.2016 14:46:38; INFO; 0; Успешно проведена очистка лога
11.02.2016 16:34:25; WARNING; 0; LogsCleaner запущен
11.02.2016 16:37:45; INFO; 0; Начата очистка лога
11.02.2016 16:57:14; INFO; 0; Успешно проведена очистка лога
11.02.2016 17:23:14; WARNING; 0; LogsCleaner запущен
11.02.2016 17:26:34; INFO; 0; Начата очистка лога
11.02.2016 17:46:06; INFO; 0; Успешно проведена очистка лога
11.02.2016 22:01:31; WARNING; 0; LogsCleaner запущен
11.02.2016 22:05:00; WARNING; 0; LogsCleaner запущен
11.02.2016 22:08:20; INFO; 0; Начата очистка лога
11.02.2016 22:27:51; INFO; 0; Успешно проведена очистка лога
12.02.2016 12:07:42; WARNING; 0; LogsCleaner запущен
12.02.2016 12:25:26; WARNING; 0; LogsCleaner запущен
12.02.2016 12:28:46; INFO; 0; Начата очистка лога
12.02.2016 12:48:36; WARNING; 0; LogsCleaner запущен
12.02.2016 12:51:56; INFO; 0; Начата очистка лога
12.02.2016 13:02:02; WARNING; 0; LogsCleaner запущен
12.02.2016 13:05:22; INFO; 0; Начата очистка лога
12.02.2016 13:24:57; INFO; 0; Успешно проведена очистка лога
12.02.2016 13:29:54; WARNING; 0; LogsCleaner запущен
12.02.2016 13:33:14; INFO; 0; Начата очистка лога
12.02.2016 13:52:42; INFO; 0; Успешно проведена очистка лога
12.02.2016 13:59:17; WARNING; 0; LogsCleaner запущен
