20.11.2012 21:35:54; WARNING; 0; LogsCleaner запущен
15.12.2012 19:06:59; WARNING; 0; LogsCleaner запущен
15.12.2012 19:10:19; INFO; 0; Начата очистка лога
15.12.2012 19:12:18; WARNING; 0; LogsCleaner запущен
15.12.2012 19:15:10; WARNING; 0; LogsCleaner запущен
13.02.2013 17:35:19; WARNING; 0; LogsCleaner запущен
16.04.2013 07:14:53; WARNING; 0; LogsCleaner запущен
29.11.2013 14:19:48; WARNING; 0; LogsCleaner запущен
16.06.2014 11:44:14; WARNING; 0; LogsCleaner запущен
30.07.2014 00:29:19; WARNING; 0; LogsCleaner запущен
09.08.2014 15:05:34; WARNING; 0; LogsCleaner запущен
05.09.2014 16:26:14; WARNING; 0; LogsCleaner запущен
03.12.2014 13:22:13; WARNING; 0; LogsCleaner запущен
04.12.2014 14:25:07; WARNING; 0; LogsCleaner запущен
10.12.2014 14:08:38; WARNING; 0; LogsCleaner запущен
05.02.2015 17:01:49; WARNING; 0; LogsCleaner запущен
18.02.2015 14:22:01; WARNING; 0; LogsCleaner запущен
23.04.2015 15:56:50; WARNING; 0; LogsCleaner запущен
23.04.2015 16:00:10; INFO; 0; Начата очистка лога
11.07.2017 15:30:13; WARNING; 0; LogsCleaner started
30.10.2017 10:40:00; WARNING; 0; LogsCleaner started
02.11.2017 17:27:38; WARNING; 0; LogsCleaner started
02.11.2017 17:36:32; WARNING; 0; LogsCleaner started
