16.04.2013 07:15:23; INFO; 0; Время работы ParkEvents: 0
09.08.2014 15:06:05; INFO; 0; Время работы ParkEvents: 15
09.08.2014 15:06:20; INFO; 0; Время работы ParkEvents: 0
09.08.2014 15:06:35; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:25:37; INFO; 0; Время работы ParkEvents: 2.0001
04.12.2014 14:25:52; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:26:07; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:26:22; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:26:37; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:26:52; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:27:07; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:27:22; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:27:37; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:27:52; INFO; 0; Время работы ParkEvents: 0
04.12.2014 14:28:07; INFO; 0; Время работы ParkEvents: 0
