12.02.2016 17:26:45; WARNING; 0; GSMResolver запущен
12.02.2016 17:27:15; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:15; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:15; INFO; 0; http://mobile.maps.yandex.net/cellid_location/?cellid=6340&operatorid=1&countrycode=250&lac=22514
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:29; ERROR; 0; System.Net.WebException: Удаленный сервер возвратил ошибку: (404) Не найден.
   в System.Net.HttpWebRequest.EndGetResponse(IAsyncResult asyncResult)
   в GSMResolver.OnResponse(IAsyncResult asyncResult) в E:\GeoLoc\GeoLocServer\GSMResolver.cs:строка 114
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; INFO; 0; http://mobile.maps.yandex.net/cellid_location/?cellid=6340&operatorid=1&countrycode=250&lac=22514
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:38; ERROR; 0; System.Net.WebException: Удаленный сервер возвратил ошибку: (404) Не найден.
   в System.Net.HttpWebRequest.EndGetResponse(IAsyncResult asyncResult)
   в GSMResolver.OnResponse(IAsyncResult asyncResult) в E:\GeoLoc\GeoLocServer\GSMResolver.cs:строка 114
12.02.2016 17:27:39; DEBUG; 0; Определение соты 274883677395140
12.02.2016 17:27:39; INFO; 0; http://mobile.maps.yandex.net/cellid_location/?cellid=6340&operatorid=1&countrycode=250&lac=22514
12.02.2016 17:27:39; ERROR; 0; System.Net.WebException: Удаленный сервер возвратил ошибку: (404) Не найден.
   в System.Net.HttpWebRequest.EndGetResponse(IAsyncResult asyncResult)
   в GSMResolver.OnResponse(IAsyncResult asyncResult) в E:\GeoLoc\GeoLocServer\GSMResolver.cs:строка 114
12.02.2016 17:27:45; DEBUG; 0; Определение соты 274883677395140
12.02.2016 20:43:20; WARNING; 0; GSMResolver запущен
12.02.2016 20:59:11; WARNING; 0; GSMResolver запущен
13.02.2016 18:38:21; WARNING; 0; GSMResolver запущен
13.02.2016 19:08:00; WARNING; 0; GSMResolver запущен
13.02.2016 19:31:08; WARNING; 0; GSMResolver запущен
13.02.2016 19:45:55; WARNING; 0; GSMResolver запущен
13.02.2016 19:51:00; WARNING; 0; GSMResolver запущен
13.02.2016 19:52:29; WARNING; 0; GSMResolver запущен
13.02.2016 20:02:03; WARNING; 0; GSMResolver запущен
13.02.2016 20:30:39; WARNING; 0; GSMResolver запущен
13.02.2016 20:34:20; WARNING; 0; GSMResolver запущен
13.02.2016 20:55:25; WARNING; 0; GSMResolver запущен
13.02.2016 22:00:54; WARNING; 0; GSMResolver запущен
14.02.2016 14:49:36; WARNING; 0; GSMResolver запущен
15.02.2016 19:28:04; WARNING; 0; GSMResolver запущен
16.02.2016 13:39:56; WARNING; 0; GSMResolver запущен
16.02.2016 13:43:47; WARNING; 0; GSMResolver запущен
16.02.2016 16:13:36; WARNING; 0; GSMResolver запущен
16.02.2016 16:15:02; WARNING; 0; GSMResolver запущен
16.02.2016 16:16:46; WARNING; 0; GSMResolver запущен
16.02.2016 19:46:11; WARNING; 0; GSMResolver запущен
16.02.2016 19:46:15; WARNING; 0; GSMResolver запущен
16.02.2016 19:52:19; WARNING; 0; GSMResolver запущен
16.02.2016 19:57:39; WARNING; 0; GSMResolver запущен
16.02.2016 21:08:27; WARNING; 0; GSMResolver запущен
16.02.2016 21:09:07; WARNING; 0; GSMResolver запущен
17.02.2016 10:43:20; WARNING; 0; GSMResolver запущен
17.02.2016 10:57:06; WARNING; 0; GSMResolver запущен
17.02.2016 11:04:43; WARNING; 0; GSMResolver запущен
