20.11.2012 21:35:54; WARNING; 0; ConfigMgr запущен
15.12.2012 19:06:59; WARNING; 0; ConfigMgr запущен
15.12.2012 19:12:18; WARNING; 0; ConfigMgr запущен
15.12.2012 19:15:10; WARNING; 0; ConfigMgr запущен
13.02.2013 17:35:19; WARNING; 0; ConfigMgr запущен
16.04.2013 07:14:53; WARNING; 0; ConfigMgr запущен
16.04.2013 07:14:55; ERROR; 0; Не удалось соединиться с БД
29.11.2013 14:19:48; WARNING; 0; ConfigMgr запущен
16.06.2014 11:44:14; WARNING; 0; ConfigMgr запущен
30.07.2014 00:29:19; WARNING; 0; ConfigMgr запущен
09.08.2014 15:05:34; WARNING; 0; ConfigMgr запущен
05.09.2014 16:26:14; WARNING; 0; ConfigMgr запущен
03.12.2014 13:22:13; WARNING; 0; ConfigMgr запущен
04.12.2014 14:25:07; WARNING; 0; ConfigMgr запущен
10.12.2014 14:08:38; WARNING; 0; ConfigMgr запущен
05.02.2015 17:01:49; WARNING; 0; ConfigMgr запущен
18.02.2015 14:22:01; WARNING; 0; ConfigMgr запущен
23.04.2015 15:56:49; WARNING; 0; ConfigMgr запущен
10.09.2017 16:50:23; WARNING; 0; ConfigMgr started
10.09.2017 16:50:26; ERROR; 0; Cant connect to db
10.09.2017 16:50:56; WARNING; 0; ConfigMgr started
10.09.2017 16:50:58; ERROR; 0; Cant connect to db
10.09.2017 16:51:15; WARNING; 0; ConfigMgr started
10.09.2017 17:12:26; WARNING; 0; ConfigMgr started
10.09.2017 17:30:13; WARNING; 0; ConfigMgr started
10.09.2017 17:36:22; WARNING; 0; ConfigMgr started
10.09.2017 17:45:11; WARNING; 0; ConfigMgr started
10.09.2017 17:57:03; WARNING; 0; ConfigMgr started
10.09.2017 17:59:52; WARNING; 0; ConfigMgr started
10.09.2017 18:08:41; WARNING; 0; ConfigMgr started
10.09.2017 19:17:23; WARNING; 0; ConfigMgr started
22.09.2017 16:45:11; WARNING; 0; ConfigMgr started
23.09.2017 14:21:49; WARNING; 0; ConfigMgr started
