13.02.2013 17:35:19; WARNING; 0; NotifyQueue запущен
16.04.2013 07:14:53; WARNING; 0; NotifyQueue запущен
16.04.2013 07:15:23; ERROR; 0; Не удалось соединиться с БД
29.11.2013 14:19:49; WARNING; 0; NotifyQueue запущен
16.06.2014 11:44:15; WARNING; 0; NotifyQueue запущен
30.07.2014 00:29:20; WARNING; 0; NotifyQueue запущен
09.08.2014 15:05:35; WARNING; 0; NotifyQueue запущен
05.09.2014 16:26:14; WARNING; 0; NotifyQueue запущен
03.12.2014 13:22:14; WARNING; 0; NotifyQueue запущен
04.12.2014 14:25:07; WARNING; 0; NotifyQueue запущен
10.12.2014 14:08:38; WARNING; 0; NotifyQueue запущен
05.02.2015 17:01:49; WARNING; 0; NotifyQueue запущен
18.02.2015 14:22:01; WARNING; 0; NotifyQueue запущен
23.04.2015 15:56:50; WARNING; 0; NotifyQueue запущен
