20.11.2012 21:35:54; WARNING; 0; ConfigMgr запущен
15.12.2012 19:06:59; WARNING; 0; ConfigMgr запущен
15.12.2012 19:12:18; WARNING; 0; ConfigMgr запущен
15.12.2012 19:15:10; WARNING; 0; ConfigMgr запущен
13.02.2013 17:35:19; WARNING; 0; ConfigMgr запущен
16.04.2013 07:14:53; WARNING; 0; ConfigMgr запущен
16.04.2013 07:14:55; ERROR; 0; Не удалось соединиться с БД
29.11.2013 14:19:48; WARNING; 0; ConfigMgr запущен
16.06.2014 11:44:14; WARNING; 0; ConfigMgr запущен
30.07.2014 00:29:19; WARNING; 0; ConfigMgr запущен
09.08.2014 15:05:34; WARNING; 0; ConfigMgr запущен
05.09.2014 16:26:14; WARNING; 0; ConfigMgr запущен
03.12.2014 13:22:13; WARNING; 0; ConfigMgr запущен
04.12.2014 14:25:07; WARNING; 0; ConfigMgr запущен
10.12.2014 14:08:38; WARNING; 0; ConfigMgr запущен
05.02.2015 17:01:49; WARNING; 0; ConfigMgr запущен
18.02.2015 14:22:01; WARNING; 0; ConfigMgr запущен
23.04.2015 15:56:49; WARNING; 0; ConfigMgr запущен
11.07.2017 15:30:12; WARNING; 0; ConfigMgr started
11.07.2017 15:30:15; ERROR; 0; Cant connect to db
30.10.2017 10:39:59; ERROR; 0; Íå óäàëîñü ñîåäèíèòüñÿ ñ ÁÄ
30.10.2017 10:39:59; WARNING; 0; ConfigMgr started
02.11.2017 17:27:38; ERROR; 0; Íå óäàëîñü ñîåäèíèòüñÿ ñ ÁÄ
02.11.2017 17:27:38; WARNING; 0; ConfigMgr started
02.11.2017 17:36:32; ERROR; 0; Íå óäàëîñü ñîåäèíèòüñÿ ñ ÁÄ
02.11.2017 17:36:32; WARNING; 0; ConfigMgr started
